entity,field_name,display_name,data_type,field_length,description,deprecated,field_name_sfdc,field_name_msdyn
accounts,_sys_as_of,As of Date,DATETIME,,The date of the last data request from the platform,false,,
accounts,_sys_doc_id,Doc ID,STRING,50,"Unique record identifier, based on the ID of the document in the remote system (such as Salesforce ID)",false,Id,accountid
accounts,_sys_filt_end_date,Filter End Date,DATE,,"The end date of the record, stripped of time",false,,
accounts,_sys_filt_start_date,Filter Start Date,DATE,,"The start date of the record, stripped of time",false,,
accounts,_sys_last_modified_on,Last Modified On,DATETIME,,The date of the last data modification in the platform,false,SystemModstamp,modifiedon
accounts,_sys_ssr_id,SSR ID,STRING,50,Id of the SSR document the record belongs to,false,,
accounts,crm_account_type,CRM Account Type,STRING,50,Account's type in the CRM,false,Type,
accounts,crm_addr_city,CRM Address City,STRING,150,Account's city in the CRM,false,BillingCity,address1_city
accounts,crm_addr_country,CRM Address Country,STRING,150,Account's country in the CRM,false,BillingCountry,address1_country
accounts,crm_addr_postal_code,CRM Address Postal Code,STRING,150,Account's postal code in the CRM,false,BillingPostalCode,address1_postalcode
accounts,crm_addr_state,CRM Address State,STRING,150,Account's state in the CRM,false,BillingState,address1_stateorprovince
accounts,crm_addr_street,CRM Address Street,STRING,150,Account's street in the CRM,false,BillingStreet,address1_line1
accounts,crm_complt,CRM Completeness,FLOAT,,Account's completeness score based on the CRM data,false,,
accounts,crm_complt_contact,CRM Completeness Contact,FLOAT,,Account's contact information completeness score based on the CRM data,false,,
accounts,crm_complt_contact_method,CRM Completeness Contact Method,FLOAT,,Account's contact method completeness score based on the CRM data,false,,
accounts,crm_complt_custom,CRM Completeness Custom,FLOAT,,Account's custom completeness score based on the CRM data,false,,
accounts,crm_complt_geo,CRM Completeness Geo,FLOAT,,Account's location completeness score based on the CRM data,false,,
accounts,crm_complt_marketing,CRM Completeness Marketing,FLOAT,,Account's marketing completeness score based on the CRM data,false,,
accounts,crm_created_on,CRM Created On,DATETIME,,Account creation date in the CRM,false,CreatedDate,createdon
accounts,crm_creator_id,CRM Creator ID,STRING,50,Account creator's id in the CRM,false,CreatedById,_createdby_value
accounts,crm_custom_value_1,CRM Custom Value 1,STRING,150,Custom categorical variable,false,,
accounts,crm_custom_value_2,CRM Custom Value 2,STRING,150,Custom categorical variable,false,,
accounts,crm_custom_value_3,CRM Custom Value 3,STRING,150,Custom categorical variable,false,,
accounts,crm_deep_link,CRM Deep Link,STRING,500,Link to the account in the remote system (such as Salesforce),false,,
accounts,crm_industry,CRM Industry,STRING,150,Account's industry in the CRM,false,Industry,industrycode
accounts,crm_last_act_time,CRM Last Activity Time,DATETIME,,Account's last activity time in the CRM,false,LastActivityDate,
accounts,crm_leadsource,CRM Lead Source,STRING,150,Account's lead source in the CRM,false,AccountSource,
accounts,crm_modified_on,CRM Modified On,DATETIME,,Account modified on date in the CRM,false,LastModifiedDate,modifiedon
accounts,crm_name,CRM Name,STRING,500,Name of the account,false,Name,name
accounts,crm_num_employees,CRM Num Employees,INTEGER,,Account's number of employees in the CRM,false,NumberOfEmployees,numberofemployees
accounts,crm_owner_id,CRM Owner ID,STRING,50,Account owner's id in the CRM,false,OwnerId,_ownerid_value
accounts,crm_parent_id,CRM Parent ID,STRING,50,Account's parent id in the CRM,false,ParentId,_parentaccountid_value
accounts,crm_web_url,CRM Weburl,STRING,150,Account's URL in the CRM,false,Website,websiteurl
accounts,cust_bool1,cust_bool1,BOOLEAN,,cust_bool1,false,,
accounts,cust_bool2,cust_bool2,BOOLEAN,,cust_bool2,false,,
